Recommendation Type	نوع التوصية	Definitions	التعريف			
Archaeological/Heritage Activity	أنشطة أثرية/أنشطة تراثية	Archaeological Activity: The non intrusive and intrusive processes by which information is collected about the location, distribution and organisation of past human activities. The approaches can be either extensive or intensive depending the objectives that need to be addressed. Heritage Activity: Programmes of research that seek to identify the archaeological and/or architectural significance of a site or landscape.		أنشطة أثرية/أنشطة تراثية	ok	أنشطة أركيولوجية/ أنشطة تراثية
Aerial photograph interpretation	تفسير صورة جوية	Image interpretation of aerial photographs				
Aerial/Drone survey	"مسح جوي/مسح بـ""درون"""	Detailed survey using an unmanned aerial vehicle, such as a drone, to record a heritage place or feature.		"مسح جوي/مسح بـ""درون"""	ok	"مساحة جوية/ مساحة ب""درون"""
Archaeological excavation	حفريات أركيولوجية	Controlled intrusive fieldwork by archaeological specialists which examines, records and interprets archaeological deposits, features and structures and, as appropriate, retrieves artefacts and ecofact remains within a specified area or site on land or within the inter-tidal zone.		حفريات أثرية	NO, this means archaeological fossils. not archaeological excavations. حفائر آثرية	
archaeological monitoring	مراقبة أثرية	The monitoring by an archaeologist of the excavation of a hole made by a non-archaeologically trained person under controlled circumstances. Any archaeological evidence that comes to light is recorded by the archaeologist during the course of the work.		مراقبة أثرية	ok	مراقبة اركيولوجية
Archaeological Survey	مسح أثري	Systematic recording and analysis of archaeological and heritage resources in a landscape without excavation.		مسح أثري	ok	مسح أركيولوجي
architectural / measured survey	مسح معماري/مسح قياسي	Recording and analysis of built structures utilising close observation as well as manual or electronic survey equipment such as GPS and REDM (Reflectorless Electromagnetic Distance Measurement). It includes producing measured drawings on site or building by hand measurement, and/or by using various heritage recording tools to produce plans, elevations, etc.		مسح معماري/مسح قياسي	ok	مسح قياسي/ مسح معماري
Field Observation	ملاحظة بالموقع	Site visit to ascertain the nature and extent of the site and its surrounding environs by means of a visual inspection		مشاهدة ميدانية	same thing, no real difference. 	
General Surface Collection	تجميع عام للمواد الأثرية السطحية	The unsystematic survey of ground surfaces and collection of visible archaeological material at a heritage place (site). Often referred to as a grab collection to give a very rough indication of dating of the site.		التقاط سطحي عام	no. تجميع عام للمواد الأثرية السطحية	مجموعات سطحية عامة
impact assessment	تقييم التأثير	An information gathering exercise to facilitate an understanding of the potential environmental and archaeological impact of a development proposal; includes the collation of specialist reports from a variety of disciplines.				
laser scanning survey	مسح بالليزر	The recording of a surface, or surfaces, using scanning technologies, to create a 3D model of the target structure/object		مسح بتقنية المسح الليزري	no	
literature survey	بحث الأعمال السابقة المنشورة وغير المنشورة	Collation of existing published and unpublished data, reports and articles etc., on the archaeological/heritage site, feature or landscape and surrounding area.		بحث الأعمال السابقة المنشورة وغير المنشورة	ok	بحث في الأدبيات والمطبوعات
Photographic Recording	توثيق فوتوغرافي	The taking of photographs during informal site visits, which may be undertaken by amateur archaeologists or architectural students. More formal, detailed surveys should be termed Photographic Survey.				
Photographic Survey	مسح فوتوغرافي	Detailed survey using photographic images to record archaeological and architectural sites or features of interest (including photogrammetric survey)				
salvage recording	التوثيق السريع الإنقاذي	Rapid recording and collection of archaeological data carried out before construction and development projects.		تسجيلات أثناء أعمال الإنقاذ	التوثيق السريع الإنقاذي	تسجيل الإنقاذ
satellite Imagery assessment	تقييم صور القمر الصناعي	Image interpretation of satellite imagery 				
topographic survey	مسح طوبوغرافي	The controlled measurement of natural and artificial landscape features to produce a measured plan or a 3D data set reading as a plan. Features are depicted by either hachures, symbols or contour lines.		مسح طبوغرافي	it is the same translation	
Transect/Grid Survey	مسح على شكل قطاعات/مسح شبكي	The systematic survey of ground surfaces and collection of visible archaeological material. Fieldwalking can be carried out as line-walking, grid collection and transect or quadrant sampling.		مسح على شكل قطاعات/مسح شبكي	ok	مسح مقطعي/ مسح شبكي
Conservation Activity	نشاط متعلق بالحفاظ	All the processes of looking after a place so as to retain its cultural significance. It includes all measures -preventive conservation, remedial conservation, and restoration - aimed at safeguarding the character-defining elements of a cultural heritage so as to retain its vaues and ensures its acceccibility to present and future generation.		نشاط متعلق بالحفظ	same	
adhesion	إلتصاق	The joining of two surfaces by means of a generally viscous, sticky composition such as an adhesive or through physical or chemical force.				
remedial conservation (Other)	ترميم علاجي (اخر)	All actions directly applied to an item or a group of items aimed at arresting current damaging processes or reinforcing their structure. These actions sometimes modify the appearance of the items. To only include activities which do not fall under other categories. e.g. desalination		حفظ علاجي (آخر)	ترميم علاجي (اخر)	حفاظ علاجي (آخر)
consolidation	تقوية	Stabilizing degraded or weakened areas by introducing or attaching materials capable of holding them together.				
filling	ملء	Inserting mortar or other binding material into a hole, crack, or cavity.				
improving /removal of previous conservation/restoration	تحسين/ إزالة الترميم السابق/صيانة			تحسين/ إزالة الترميم السابق/صيانة	ok	تحسين/ إزالة الحفاظ السابق/ ترميم
in-depth condition assessment	تقييم تفصيلي للحالة					
restoration	ترميم	The process of making changes to an object or structure so that it will closely approximate its original state or other state at a specific time in its history.				
repointing	تكحيل	The process of repairing or 'touching up' mortar in masonry walls				
scaffolding	سقالات					
shoring	تدعيم	The process of temporarily supporting a structure				
structural strengthening/reinforcement	تقوية إنشائية/ تدعيم إنشائي	Addition of a structural element, usually in another material, for the purpose of improving the strength of the heritage feature				
Maintenance Activity	أنشطة صيانة	The continuous protective care of the fabric and setting of a place, and is to be distinguished from repair. Repair involves restoration or reconstruction				
surface cleaning	تنظيف السطح	removing dirt, debris and altered products from the surface of recorded heritage				
maintenance policy and programs	سياسة وبرامج الصيانة			سياسة وبرامج الصيانة	ok	سياسة وبرنامج الصيانة
removal of vegetation	إزالة النباتات					
renewal of protective coating	تجديد طبقة الحماية					
Management Planning and Preventative Activity	تخطيط للإدارة وأنشطة وقائية	A field and desk based assessment of heritage condition and vulnerability so that informed decisions can be made regarding how best to preserve, and manage the heritage resource. The preventive activities aimed at avoiding and minimizing future deterioration or loss. These measures are indirect – they do not interfere with the materials and structures of the heritage. They do not modify their appearance.				
designation / registration	إسناد/ تسجيل					
development of conservation and management plan	تطوير خطة حفاظ وإدارة					
fencing/enclosing	إحاطة/ إقامة سور محيط			تطوير خطة حفظ وإدارة	no	
fire mitigation	الحد من خطر الحرائق			تطويق/ إقامة سور محيط		
flood mitigation	الحد من خطر الفيضانات					
intervene with governmental authorities	التدخل بالتعاون مع الجهات الحكومية			التدخل بالتعاون مع الجهات الحكومية	ok	التدخل لدى الجهات الحكومية
intervene with owner/occupant/local inhabitants	التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين			التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين	ok	التدخل لدى المالك/ الشاغل/ السكان المحليين
reburial	إعادة دفن					
relocation development proposal	مقترح نقل بسبب التطوير			مقترح نقل بسبب التطوير	ok	تطوير مقترح بالنقل
site protection/improving security	حماية الموقع/ الارتقاء بالتأمين			حماية الموقع/ الارتقاء بتأمين الموقع	same one, no need.	
temporary covering	تغطية مؤقتة					
No Action Needed	غير مطلوب أي عمل 					
Other Activities	أنشطة أخرى					
x						
